qplume,red,green,blue,yellow,source_type_nan,source_type_pipeline,source_type_processing,source_type_tank,source_type_well
487.1907336,18,31,59,12,0,0,0,0,1
120.8458942,0,25,40,0,0,0,0,1,0
238.3817356,50,46,52,10,0,1,0,0,0
205.9498017,0,30,50,0,0,0,0,0,1
170.3880868,0,9,120,0,0,0,0,1,0
361.4135527,6,47,63,2,0,0,0,1,0
2054.53964,221,235,779,108,0,1,0,0,0
1120.37959,213,180,227,106,0,0,0,1,0
1070.42914,235,183,539,75,0,0,0,0,0
227.140694,22,72,260,16,0,1,0,0,0
729.323802,146,96,502,13,0,0,0,1,0
97.48068317,0,0,19,0,0,0,0,0,0
364.1440129,16,11,32,0,0,1,0,0,0
1744.57611,102,274,216,46,0,0,0,1,0
931.8897908,23,91,412,10,0,0,0,0,0
3308.12158,230,310,438,100,0,0,1,0,0
374.2858981,0,46,144,5,0,0,0,1,0
299.8469296,0,0,137,0,0,0,0,0,1
447.9894555,0,6,98,0,0,0,0,0,0
279.8865322,0,0,39,0,0,1,0,0,0
326.5623025,0,13,164,1,0,0,0,1,0
327.9758125,0,10,108,1,0,0,0,1,0
682.9107209,122,307,858,38,0,0,1,0,0
333.7060734,0,4,35,0,0,1,0,0,0
358.7560947,0,13,59,0,0,0,0,1,0
325.5288399,0,0,11,0,0,1,0,0,0
295.7223314,0,10,55,0,0,1,0,0,0
405.8393045,0,0,37,0,0,1,0,0,0
11164.8973,1202,428,395,205,0,0,1,0,0
874.760587,13,347,463,33,0,0,0,1,0
1745.21488,101,144,135,22,0,0,0,0,1
236.3979319,0,0,6,0,0,1,0,0,0
3136.96321,404,251,218,91,0,0,0,1,0
2657.45291,249,258,294,80,0,0,0,1,0
508.1478294,0,30,39,0,0,0,0,0,0
108.1804592,0,0,16,0,0,0,0,0,0
495.990285,16,43,247,10,0,0,0,1,0
791.7045369,75,108,146,50,0,0,0,0,0
1074.75311,55,99,297,16,0,0,0,1,0
3723.63001,624,454,3101,307,0,0,0,1,0
174.2618799,9,12,89,1,0,0,0,1,0
123.8841093,0,13,64,0,0,0,0,1,0
813.08473,39,78,278,14,0,0,0,1,0
2850.47977,610,759,1130,233,0,0,0,0,0
882.56483,59,133,91,27,0,0,0,1,0
200.3597647,12,37,73,0,0,0,0,1,0
118.877459,0,16,81,0,0,0,0,0,0
369.211195,58,333,1546,19,0,0,0,0,0
1184.89086,87,205,682,36,0,0,0,1,0
1855.4302,292,234,385,35,0,0,0,1,0
304.062294,126,103,188,8,0,0,0,0,0
681.518343,152,266,1136,39,0,0,0,0,0
321.4729047,19,45,122,6,0,0,0,0,0
99.12754695,0,12,65,0,0,0,0,1,0
31.10532583,0,21,83,0,0,1,0,0,0
670.2880626,0,29,55,0,0,0,0,1,0
133.5915943,0,0,59,0,0,0,0,1,0
743.01428,102,304,960,59,0,0,0,0,1
244.192824,11,64,192,2,0,0,0,0,0
338.6537735,12,38,39,1,0,0,0,1,0
124.1640793,0,31,48,1,0,0,0,1,0
97.66509068,0,0,115,0,0,0,0,1,0
117.8560185,0,0,204,0,0,0,0,0,0
818.4664113,48,18,25,3,0,0,0,1,0
304.964239,16,55,156,13,0,0,0,0,0
169.5962437,36,39,148,4,0,0,0,0,0
390.8180825,0,24,34,0,0,1,0,0,0
1815.02102,294,666,1254,189,0,0,0,0,1
2129.60133,109,102,364,13,0,1,0,0,0
504.584706,9,79,104,15,0,0,0,0,1
440.230591,1,7,354,0,0,0,0,1,0
952.517153,115,41,362,4,0,0,0,0,0
848.8112783,126,58,63,60,0,0,0,0,1
919.5151465,160,107,130,3,0,0,0,0,1
154.7499784,0,0,35,0,0,0,0,1,0
155.21577,0,0,29,0,0,0,0,0,0
294.9165636,0,21,43,0,0,0,0,1,0
355.3981096,0,14,30,0,0,0,0,1,0
966.994118,0,44,55,8,0,0,0,0,1
922.870425,32,19,75,2,0,0,0,1,0
1117.67458,12,136,862,20,0,1,0,0,0
191.2112227,0,0,51,0,0,0,0,1,0
237.2388159,0,5,66,0,0,0,0,1,0
643.698816,20,133,215,58,0,0,0,0,0
134.1400618,0,16,102,0,0,0,1,0,0
1611.16361,251,231,647,35,0,0,0,1,0
745.016475,33,47,91,14,0,1,0,0,0
384.5838067,0,5,27,7,0,0,0,0,1
440.389173,9,49,53,9,0,0,0,1,0
1255.80753,107,62,533,1,0,0,0,1,0
462.973832,57,59,77,21,0,0,0,0,0
849.764108,15,62,364,4,0,0,0,0,0
827.559842,64,167,271,10,0,0,0,0,0
2251.845554,175,317,380,107,0,0,0,0,0
399.3477921,8,79,183,4,0,0,0,1,0
710.047746,37,164,293,22,0,0,0,0,0
761.671264,30,57,48,30,0,0,0,0,0
773.303494,33,120,229,27,0,0,0,1,0
482.992296,15,79,484,13,0,0,0,0,1
282.0579198,0,57,192,0,0,0,0,1,0
487.3075143,0,94,257,3,0,0,0,1,0
875.4103,104,62,226,8,0,0,0,1,0
918.283089,122,68,24,32,0,0,0,0,1
638.376914,42,253,215,51,0,0,0,0,0
260.6479061,0,49,73,0,0,0,0,1,0
299.5366845,0,58,199,3,0,0,0,0,0
560.085729,107,218,402,72,0,0,0,1,0
936.65357,159,87,63,45,0,0,0,1,0
269.6904103,0,35,137,11,0,0,0,1,0
208.3841477,0,22,195,0,0,0,0,1,0
270.1892636,0,5,41,5,0,0,0,1,0
1972.8963,133,55,165,3,0,0,0,1,0
150.616978,0,58,66,0,0,0,0,0,0
912.859719,108,183,605,18,0,0,0,0,0
1000.84429,40,34,71,35,0,0,0,0,1
1885.82581,70,254,522,86,0,0,0,0,0
268.5315794,0,3,56,0,0,0,0,1,0
461.8515364,0,8,44,0,0,0,0,1,0
265.0963536,0,0,69,0,0,0,0,0,1
125.8877564,0,0,82,0,0,0,0,0,1
890.0119327,0,47,137,28,0,0,0,1,0
558.6170736,3,23,36,24,0,1,0,0,0
691.0449871,28,27,96,5,0,0,0,1,0
417.5715493,23,40,126,3,0,0,0,0,1
443.0984843,13,82,280,10,0,0,0,1,0
141.1086093,0,6,53,0,0,0,0,0,1
220.1651534,0,11,125,0,0,0,1,0,0
592.2450581,0,46,129,0,0,0,0,0,0
810.678039,7,109,274,20,0,0,0,0,0
1748.91409,115,204,413,6,0,0,0,0,1
462.1519058,0,141,201,5,0,1,0,0,0
195.4880121,0,40,132,5,0,0,0,0,0
128.3334776,0,4,203,0,0,0,0,0,0
287.77739,17,110,277,17,0,0,0,1,0
332.116939,21,84,219,20,0,1,0,0,0
835.602765,26,156,145,9,0,0,0,0,0
1111.36052,20,96,232,7,0,1,0,0,0
1012.5479,30,105,380,10,0,0,0,0,0
719.2792136,0,24,66,4,0,0,0,0,0
453.3897237,0,7,72,0,0,0,0,0,0
852.090745,46,68,49,12,1,0,0,0,0
298.0660454,13,110,371,2,0,1,0,0,0
654.682639,65,174,418,22,0,1,0,0,0
128.4679051,0,10,36,0,0,1,0,0,0
581.149089,51,69,338,10,0,0,0,0,0
223.3134062,0,25,278,8,0,0,0,0,0
257.1056888,0,20,48,9,0,0,0,0,0
187.5095241,0,47,71,0,0,0,0,1,0
904.294862,436,392,1174,143,0,0,0,0,1
1246.606953,435,461,721,135,0,0,0,0,0
650.9680791,30,1129,5084,34,0,0,0,1,0
711.368973,22,37,115,7,0,0,0,1,0
344.5577897,7,47,108,3,0,0,0,1,0
899.178387,40,22,98,12,0,0,0,1,0
409.3545105,0,106,169,0,0,0,0,0,1
357.8774998,0,21,38,0,0,0,0,1,0
2159.78761,861,395,979,115,0,0,0,1,0
2431.49544,726,1300,2068,360,0,1,0,0,0
151.3653413,0,64,93,0,0,0,0,0,1
200.8879729,0,36,202,1,0,0,0,0,1
2421.26779,614,422,735,203,0,0,0,1,0
962.079967,79,244,2885,18,0,1,0,0,0
2708.66276,80,1041,5429,85,0,0,0,1,0
1613.11293,223,159,1302,28,0,0,0,0,1
1602.89772,107,148,2241,15,0,0,0,1,0
2023.432656,43,402,7086,87,0,0,0,0,0
80.38339024,0,18,77,0,0,0,0,0,0
524.5475137,3,21,126,16,0,0,0,1,0
787.411614,0,89,255,12,0,0,0,0,1
1533.921357,0,308,1884,0,0,1,0,0,0
458.006694,71,117,112,14,0,0,0,0,0
829.189256,162,217,2442,52,0,0,0,1,0
626.593274,165,503,844,81,0,0,0,1,0
3013.47644,374,785,1943,169,0,0,0,0,0
1711.366797,69,74,30,31,0,0,0,1,0
480.4927081,0,35,58,0,0,0,0,1,0
393.7847708,29,63,300,4,0,0,0,1,0
625.108449,11,180,719,27,0,0,0,1,0
259.7773322,7,85,149,7,0,0,0,0,1
263.4101269,8,73,128,4,0,0,0,0,0
208.1942354,130,41,188,0,0,0,0,0,0
173.3919788,0,8,16,0,0,0,0,0,0
377.612437,47,86,77,6,0,0,0,1,0
589.405903,76,39,52,8,0,0,0,0,0
82.08953503,0,0,46,0,0,0,0,0,0
189.234707,0,0,9,0,0,0,0,1,0
331.922222,0,14,4,0,0,0,0,0,1
133.2046758,0,3,20,0,0,0,0,1,0
95.22769544,0,13,32,0,0,0,0,0,1
301.3193929,12,17,15,2,0,0,0,1,0
244.1017158,28,32,16,6,0,0,0,0,1
287.9259027,0,0,22,0,0,0,0,1,0
390.8656331,16,34,124,7,0,0,0,1,0
315.4414993,0,8,23,0,0,0,0,0,0
626.7180176,0,46,61,0,0,0,0,1,0
327.65443,0,7,55,6,0,0,0,1,0
283.6500957,11,44,88,6,0,0,0,1,0
108.0801053,0,5,65,0,0,0,0,0,0
210.858818,35,240,276,35,0,0,0,0,0
208.950273,26,45,130,12,0,0,0,0,0
133.7304542,0,0,67,0,0,0,1,0,0
112.4815818,0,0,60,0,0,0,0,0,0
1308.59624,42,131,244,16,0,1,0,0,0
235.9915744,0,28,24,11,0,0,1,0,0
308.580886,63,128,270,10,0,0,0,0,0
215.719129,18,95,116,1,0,0,0,1,0
774.395236,15,24,133,19,0,0,0,0,0
309.0585211,0,27,64,3,0,0,0,1,0
587.444976,61,45,46,5,0,0,0,0,1
934.120365,74,198,195,85,0,0,0,1,0
103.3331823,0,18,70,0,0,0,0,0,1
770.558108,64,175,856,60,0,0,0,1,0
310.691721,6,55,138,34,0,0,0,0,0
73.0989595,0,0,39,0,0,0,0,0,0
300.4187832,0,14,56,0,0,0,0,0,0
132.3698378,0,0,22,0,0,0,0,0,0
1039.1628,0,90,36,31,0,0,0,0,1
2384.00818,200,168,350,2,0,0,0,0,1
362.6813306,0,8,36,5,0,0,0,1,0
123.151521,6,13,61,0,0,0,0,1,0
323.2806416,0,9,12,4,0,0,0,1,0
231.3270528,0,56,97,0,0,0,0,0,1
1694.22776,41,23,34,6,0,0,0,1,0
110.2587249,0,0,94,0,0,0,0,1,0
203.715259,0,11,24,10,0,0,0,1,0
204.0046078,0,12,39,1,0,0,0,0,1
172.591013,0,136,52,0,0,0,0,0,0
201.8287608,0,3,58,0,0,0,0,1,0
1583.012295,48,220,413,18,0,0,0,0,0
429.5689055,1,14,20,6,0,0,0,1,0
758.432399,21,215,2001,27,0,0,1,0,0
305.2800749,30,52,70,2,0,0,0,0,1
342.5071516,0,64,168,14,0,0,0,0,0
396.0328547,13,34,1,29,0,0,0,0,1
402.455125,15,33,134,15,0,0,0,0,1
691.423978,33,89,40,9,0,0,0,0,1
1613.1787,92,40,44,11,0,0,0,0,1
175.0044956,0,8,30,0,0,0,0,1,0
343.349786,20,449,1498,77,0,1,0,0,0
1160.18995,0,102,113,41,0,1,0,0,0
445.280579,5,56,284,24,0,0,0,0,0
1269.52413,23,151,80,87,0,0,0,0,1
476.858185,12,53,42,9,0,1,0,0,0
209.3345854,3,10,28,8,0,1,0,0,0
123.4018373,0,0,41,4,0,1,0,0,0
107.3478433,0,8,74,0,0,0,0,0,1
515.352338,3,18,30,3,0,0,0,0,0
412.439481,19,30,100,24,0,0,0,0,0
1797.63269,429,361,477,68,0,0,0,0,0
224.7335296,0,25,28,0,0,0,0,0,0
668.255045,2,42,114,13,0,0,0,0,0
402.559668,35,35,94,0,0,0,0,1,0
190.0648689,0,0,225,0,0,0,0,1,0
788.839415,66,140,353,28,0,0,0,1,0
471.237173,56,102,314,18,0,0,0,1,0
924.749978,78,51,117,8,0,1,0,0,0
765.224252,59,61,43,22,0,0,0,1,0
1018.642741,212,467,723,119,0,0,0,0,1
443.035536,0,50,57,22,0,0,0,0,1
323.636611,11,23,48,8,0,0,0,0,0
3706.87622,386,162,410,67,0,0,0,0,0
1574.10717,92,131,250,13,0,0,0,0,0
236.6721288,0,42,54,5,0,0,0,0,0
356.3421587,0,2,11,0,0,0,0,1,0
496.1698729,0,70,262,32,0,0,0,0,1
423.3571014,7,71,192,10,0,0,0,0,0
148.7449476,0,0,27,0,0,0,0,1,0
516.8878224,0,24,97,0,0,0,0,0,0
1094.89269,18,89,21,25,0,0,0,1,0
452.505394,16,40,134,0,0,0,0,0,0
967.146736,71,35,208,7,0,0,0,0,0
1851.87417,69,148,272,19,1,0,0,0,0
282.3053475,0,0,9,0,0,0,0,1,0
711.9103502,0,21,13,0,0,0,0,1,0
1517.23292,166,196,195,42,0,0,0,0,1
1448.05089,245,350,1412,28,0,1,0,0,0
1052.49907,36,108,329,17,0,1,0,0,0
543.146985,11,30,154,2,1,0,0,0,0
2398.15007,456,414,439,137,0,0,0,1,0
5784.07412,879,527,2390,205,0,0,1,0,0
791.7441607,73,97,572,25,0,0,0,1,0
610.7701726,1,21,25,0,0,0,0,0,1
11687.9421,2401,306,1221,98,0,0,1,0,0
700.466586,12,35,39,1,0,0,0,1,0
5065.505615,977,1380,7775,370,0,0,1,0,0
663.052711,33,66,443,15,0,0,0,0,0
366.217934,7,85,51,12,0,0,0,0,0
841.178075,21,15,62,11,0,0,0,0,0
400.8218296,0,14,41,3,0,0,0,0,0
402.4530607,0,17,39,8,0,0,0,0,0
311.1256745,0,149,211,0,0,0,0,0,0
122.2130141,0,0,72,0,0,0,0,0,0
301.9736946,0,18,19,4,0,0,0,0,0
448.7270464,0,9,53,0,0,0,0,1,0
1429.264756,2,145,7,11,0,0,0,0,0
381.169483,65,144,651,30,0,0,0,1,0
464.073251,20,135,309,10,0,0,0,0,1
751.824738,0,30,85,8,0,0,0,1,0
1088.25638,13,57,337,17,0,0,0,0,1
158.697691,0,12,20,7,0,0,0,0,1
366.7144986,0,29,50,8,0,0,0,1,0
175.4113766,0,27,170,0,0,0,0,1,0
142.8022206,0,16,18,0,0,0,0,1,0
484.478402,0,16,98,0,0,0,0,1,0
341.4959749,8,41,404,3,0,0,0,1,0
196.9833609,0,63,188,27,0,0,0,1,0
112.7832998,0,51,200,0,0,0,0,0,1
201.5655725,0,0,48,0,0,0,0,1,0
2577.86405,106,295,453,60,0,0,0,1,0
1236.464411,38,17,118,2,0,0,0,1,0
157.9988314,0,39,73,10,0,0,0,0,0
640.5125639,17,20,36,3,0,0,0,1,0
203.9094351,4,41,77,1,0,0,0,0,0
806.660108,0,240,276,50,0,0,0,0,1
433.080613,36,98,168,27,0,0,0,1,0
1253.09758,19,150,124,20,0,0,0,0,1
325.060209,27,117,119,22,0,0,0,1,0
1249.35896,6,98,47,17,0,0,0,1,0
1118.47502,50,39,134,27,0,0,0,1,0
189.8614068,0,7,10,6,0,0,0,0,1
299.5741737,0,20,20,0,0,0,0,1,0
734.1063309,19,24,80,3,0,0,0,0,1
111.6879831,0,35,244,0,0,0,1,0,0
252.832449,0,65,62,11,0,0,0,0,0
92.1258163,0,0,45,0,0,0,0,0,0
146.1001089,0,0,101,0,0,0,0,0,1
130.861173,0,0,80,3,0,0,0,0,0
638.6757674,6,31,169,5,0,0,0,0,0
433.5998,0,29,80,0,0,0,0,1,0
378.3645472,15,10,120,2,0,1,0,0,0
99.03127016,0,0,77,0,0,0,1,0,0
154.4555633,0,16,38,0,0,0,1,0,0
130.3389045,3,13,77,2,0,1,0,0,0
300.3207879,18,31,103,5,0,0,0,0,0
288.3256937,33,7,93,0,0,1,0,0,0
217.8807562,0,15,7,5,0,1,0,0,0
130.0239617,0,52,87,0,0,0,0,0,0
256.319778,32,49,119,27,0,0,0,1,0
219.414312,0,105,247,12,0,0,0,0,0
402.133595,83,97,339,26,0,0,0,0,1
286.452416,33,35,353,0,0,0,0,1,0
301.015525,0,20,66,0,0,0,0,0,1
719.758337,28,65,244,24,0,0,0,1,0
256.8396449,12,44,228,0,0,1,0,0,0
192.1692028,4,20,81,0,0,0,0,0,0
242.5870817,0,19,45,0,0,0,0,1,0
313.0516242,0,49,82,0,0,0,0,1,0
232.3380001,0,17,141,8,0,0,0,1,0
193.6673933,6,79,202,12,0,0,0,1,0
156.4924293,0,11,54,0,0,0,0,1,0
117.2587222,0,0,60,0,0,0,0,1,0
96.13240776,0,14,50,0,0,0,0,1,0
157.4175488,0,8,96,0,0,0,0,1,0
82.52097037,0,0,41,0,0,0,0,1,0
593.9265073,181,599,1811,174,0,0,0,1,0
104.5643642,0,14,128,0,0,0,0,1,0
215.5477216,0,29,9,0,0,0,0,0,1
389.1844297,185,550,1199,171,0,0,0,1,0
244.6100398,0,21,84,0,0,0,0,0,1
645.3541659,0,111,198,11,0,0,0,1,0
87.9895167,0,0,62,0,0,0,0,1,0
547.2142379,0,216,1194,5,0,0,0,0,1
125.9371869,0,0,87,0,0,0,0,1,0
211.3154788,0,0,21,0,0,0,0,0,1
457.4158427,12,66,97,2,0,0,0,1,0
431.453429,0,54,82,0,0,0,0,1,0
183.0480151,0,0,29,0,0,0,0,0,1
228.006697,0,14,92,0,0,0,0,1,0
399.0673838,0,26,70,0,0,0,0,1,0
1049.043003,0,25,8,0,0,0,0,0,0
354.9423492,0,31,38,0,0,0,0,0,0
388.390235,0,213,1710,2,0,0,0,0,0
173.928926,0,34,941,0,0,0,0,0,0
155.0322759,0,13,56,0,0,0,0,0,0
444.2123747,0,13,29,0,0,0,1,0,0
212.3855445,0,7,117,0,0,0,1,0,0
1025.97933,81,47,92,11,0,1,0,0,0
356.1062593,15,75,129,8,0,0,1,0,0
696.6065836,0,22,31,0,0,0,0,0,1
400.285628,0,80,1002,0,0,0,0,0,0
264.310519,15,36,111,13,0,0,0,0,0
541.557412,69,65,208,12,0,0,0,0,0
394.958101,33,54,134,12,0,0,0,1,0
66.2617875,0,0,27,0,0,1,0,0,0
104.4293986,0,15,80,0,0,0,0,0,1
176.3763971,0,25,48,0,0,0,0,1,0
269.6120804,8,27,202,13,0,0,0,0,0
349.2451862,0,13,14,1,0,0,0,1,0
426.159705,13,423,2653,0,0,0,0,1,0
461.818376,16,42,74,36,0,0,0,1,0
54.9598873,0,6,0,2,0,0,0,0,0
364.7066086,0,35,79,11,0,0,0,1,0
112.0573823,0,30,43,1,0,0,0,0,1
205.0636343,0,28,56,0,0,0,0,1,0
308.3353904,0,20,35,7,0,1,0,0,0
130.657852,5,3,0,0,0,1,0,0,0
67.82004991,0,9,73,0,0,0,0,0,0
378.147033,25,103,919,38,0,0,0,0,0
388.052092,28,148,705,53,0,0,0,0,0
565.337083,12,22,22,8,0,0,0,1,0
312.1626218,23,13,105,1,0,0,0,1,0
368.1366908,0,26,37,14,0,0,0,1,0
187.7159182,0,12,53,0,0,0,0,0,0
153.2929911,0,0,44,0,0,0,0,0,0
78.01128896,4,0,90,0,0,0,0,1,0
539.292226,40,131,188,22,0,0,0,1,0
142.369164,0,18,40,9,0,0,0,0,1
122.3527726,0,0,93,0,0,0,0,1,0
349.5649104,0,30,67,3,0,0,0,0,1
420.1645506,0,30,6,10,0,0,0,1,0
128.5481299,0,0,192,5,0,0,0,1,0
395.1574158,0,19,6,5,0,0,0,1,0
200.4013314,0,30,133,0,0,0,0,1,0
346.7013217,0,55,147,1,0,0,0,0,1
120.1499219,0,0,44,1,0,0,0,1,0
115.0328508,0,0,38,0,0,0,0,1,0
129.8840766,0,25,47,0,0,0,0,0,0
1032.39503,465,1030,1394,268,0,0,0,1,0
508.368091,35,171,572,10,0,0,0,1,0
1609.77999,189,579,872,135,0,0,0,0,0
208.209727,32,89,534,2,0,0,0,1,0
331.754059,31,149,840,20,0,0,0,0,1
683.734657,26,21,88,14,0,0,0,1,0
464.157162,0,31,112,14,0,0,0,1,0
85.89710876,0,10,534,0,0,0,0,1,0
332.8250119,0,100,2818,2,0,0,0,0,0
182.1252022,0,126,442,14,0,0,0,1,0
167.4000043,15,31,181,4,0,0,0,1,0
267.2179636,0,13,37,0,0,0,0,0,1
900.8994804,127,468,1467,79,0,0,0,0,0
553.9450542,30,72,66,3,0,0,0,0,0
344.8348486,18,21,135,13,0,0,0,1,0
88.69881853,0,0,30,0,0,0,0,0,1
225.6731358,4,27,526,8,0,0,0,1,0
79.47069114,0,7,87,0,0,0,0,1,0
263.1374258,0,22,46,20,0,0,0,1,0
249.8186179,0,75,258,5,0,0,0,1,0
526.5633194,0,20,15,1,0,0,0,1,0
321.4913692,0,16,23,13,0,0,0,1,0
437.4606877,0,25,123,0,0,0,0,1,0
374.8328464,0,10,7,0,0,0,0,0,1
210.1504862,0,10,54,4,0,0,0,0,1
924.8644422,0,48,119,17,0,0,0,1,0
944.201904,104,72,216,14,0,0,0,0,0
353.351298,48,55,120,14,0,0,0,1,0
162.6657431,1,52,73,0,0,0,0,0,0
514.508194,41,33,90,10,0,0,0,0,1
332.4903373,19,55,60,3,0,0,0,0,1
435.0975627,0,17,56,0,0,0,0,0,0
1471.466515,47,9,21,0,0,0,0,0,1
414.8522961,4,38,30,12,0,0,1,0,0
489.257213,11,47,197,5,0,1,0,0,0
286.553468,28,122,636,11,0,0,0,1,0
931.763672,104,58,136,20,0,1,0,0,0
717.27761,50,184,326,6,0,1,0,0,0
116.2827007,0,0,24,0,0,0,0,1,0
67.7398053,0,9,41,0,0,1,0,0,0
154.1515069,0,19,22,1,0,1,0,0,0
93.14873916,0,20,77,5,0,0,0,0,1
70.86252512,1,9,8,0,0,1,0,0,0
329.3083116,43,40,192,1,0,1,0,0,0
146.5325303,0,12,68,1,0,1,0,0,0
236.8409203,0,16,14,0,0,0,0,1,0
1008.277839,0,20,21,1,0,0,0,1,0
322.2285586,0,4,37,0,0,0,0,0,1
1165.98107,167,416,578,80,0,1,0,0,0
152.1775631,0,9,48,0,0,0,0,0,0
264.4217641,0,0,29,0,0,0,0,0,0
743.0634463,0,17,90,5,1,0,0,0,0
1238.290001,4,37,42,18,1,0,0,0,0
408.706507,0,25,156,0,0,0,1,0,0
721.3190831,11,16,39,2,0,0,1,0,0
900.080639,15,39,359,1,0,0,0,0,0
805.545496,12,105,308,2,0,0,0,0,0
269.5677569,0,9,42,0,0,0,0,0,0
1899.02578,96,24,10,1,0,0,0,1,0
310.0723745,0,0,35,0,0,0,0,1,0
512.1134312,9,32,83,3,0,0,0,0,0
297.1580304,0,0,7,0,0,0,0,1,0
511.0424046,14,73,73,12,0,0,0,0,0
155.2187223,0,0,5,0,0,0,1,0,0
401.556236,0,19,12,0,0,0,0,0,1
837.52324,1,38,132,14,0,0,0,0,0
337.3426339,0,11,3,0,0,1,0,0,0
133.9276142,0,9,42,0,0,1,0,0,0
589.7625931,0,13,9,1,0,1,0,0,0
1072.26254,158,295,578,57,0,0,0,0,1
2091.77387,158,80,218,1,0,0,0,1,0
224.434651,0,23,261,0,0,0,0,1,0
1813.656231,12,24,36,14,0,0,0,1,0
745.7648187,0,37,14,8,0,0,0,1,0
773.4274759,0,24,31,5,0,0,0,1,0
259.6941181,0,8,65,0,0,0,0,1,0
208.2654262,0,10,38,0,0,0,0,0,0
322.2563108,0,10,36,0,0,0,0,0,1
233.2044762,5,28,76,0,0,0,0,1,0
588.0494941,25,27,78,0,0,0,0,1,0
595.5986296,5,29,86,1,0,0,0,0,0
174.8197763,0,22,9,0,0,0,0,1,0
1192.675573,114,233,311,40,0,0,0,1,0
287.9388672,0,9,23,5,0,0,0,1,0
640.2567866,63,146,594,38,0,0,0,0,1
301.6861807,0,19,6,0,0,0,0,0,1
264.5365945,0,3,32,0,0,0,0,0,0
560.7541526,0,14,18,0,0,0,0,1,0
743.465905,17,50,37,19,0,0,0,0,1
925.521274,18,28,22,4,0,0,0,1,0
366.6702636,0,22,9,0,0,0,0,1,0
705.769863,0,11,18,0,0,0,0,1,0
680.0035283,0,26,46,0,0,0,0,1,0
454.1681688,0,18,52,0,0,0,0,1,0
492.8728135,0,18,12,0,0,0,0,1,0
138.2006666,0,7,37,0,0,0,0,1,0
193.1375154,0,0,50,0,0,0,0,1,0
1084.55606,14,32,152,12,0,1,0,0,0
973.482802,84,106,156,66,0,0,0,0,0
244.4931569,0,0,41,0,0,1,0,0,0
668.3299601,0,3,90,0,0,0,1,0,0
362.937378,0,4,16,0,0,1,0,0,0
131.6898665,48,0,32,0,0,1,0,0,0
334.2717549,0,12,30,0,0,0,0,0,0
251.526016,42,0,57,0,0,0,0,1,0
2623.37001,66,36,110,0,0,1,0,0,0
424.5589465,0,31,148,0,0,0,0,0,0
